symbol,horizon,uncond_mean_bps,uncond_std_bps,settle_mean_bps,settle_n,hi_extreme_mean_bps,hi_extreme_n,lo_extreme_mean_bps,lo_extreme_n,pnl_hi_short_bps,pnl_lo_long_bps
UNIUSDT,15m,-0.01930324301174589,54.54882295423059,0.5251878086301672,3924,-0.020458024123234914,1565,-0.19566907914767637,466,0.020458024123234914,-0.19566907914767637
UNIUSDT,1h,-0.05282979658309641,105.33838001449831,-0.181295687812088,3924,-0.6702053723072877,1565,1.613228259999923,466,0.6702053723072877,1.613228259999923
UNIUSDT,4h,-0.19199439600072357,206.66716266148464,-3.2045185873827853,3924,-3.4311364026990216,1565,-3.2583275633641473,466,3.4311364026990216,-3.2583275633641473
ETCUSDT,15m,-0.06922372544261073,43.916483846346196,-0.02663409164615132,3924,1.2765598956369888,1262,1.5583797084618856,435,-1.2765598956369888,1.5583797084618856
ETCUSDT,1h,-0.27541538968734036,85.50309383917666,-0.2527609948257469,3924,2.234025180968107,1262,0.6182314647087431,435,-2.234025180968107,0.6182314647087431
ETCUSDT,4h,-1.0914552868118526,165.41888529463503,-2.1139544229077623,3924,1.0690924882140405,1262,0.467752668188465,435,-1.0690924882140405,0.467752668188465
ICPUSDT,15m,-0.03678366160951963,57.26656727222092,-1.4668442430979054,3924,-2.470032792873271,1253,0.413564837285436,453,2.470032792873271,0.413564837285436
ICPUSDT,1h,-0.19387033404378212,109.63476301131497,-1.4435736405232489,3924,-1.4358301646178528,1253,1.7550475773049876,453,1.4358301646178528,1.7550475773049876
ICPUSDT,4h,-0.8039950204418054,210.474334807713,-3.6187062316282974,3924,-3.5876348378167564,1253,3.344768646356496,453,3.5876348378167564,3.344768646356496
AAVEUSDT,15m,0.05579065825478881,52.82420185729616,-0.7941375763364342,3924,-2.216232936700157,1470,-3.4673475486505665,466,2.216232936700157,-3.4673475486505665
AAVEUSDT,1h,0.21849864590711307,101.35458525580678,-2.6461143224102286,3924,-2.626054041166741,1470,-5.875528466384427,466,2.626054041166741,-5.875528466384427
AAVEUSDT,4h,0.7824386271240154,197.42241887309126,-0.9700389090156282,3924,-4.796547376542804,1470,-7.953789604758183,466,4.796547376542804,-7.953789604758183
