mechanism_id,family,horizon_h,tier,verdict,n_raw,n_independent_L1,n_independent_L2_days,n_independent_L3_weeks,gross_bps,net_bps,net_bps_stress28,t_stat_declustered,event_rate_L1_per_week_recent6m,eta_forward_confirmation_years,eta_at_zero_cost_years,sharpe_net_ann,sharpe_gross_ann,net_bps_min_for_1y_confirm,cost_bps_for_1y_confirm,capacity_usd_estimate,ex_best_year_net_bps,best_year
M2_RESID_CONTINUATION_1H_z1.5,A_resid_move,1,T_ALL,DEAD,646003,165276.0,2308.0,330.0,-1.401890732954401,-15.401890732954401,-29.4018907329544,-6.851313535923219,717.6555555555556,,inf,-14.790296079030217,-2.9730345956070785,6.638118841425509,-10.160295650061396,290342.35000000003,-16.221699303754836,2025.0
M2_RESID_CONTINUATION_1H_z1.5,A_resid_move,4,T_ALL,DEAD,645926,165270.0,2308.0,330.0,-2.6024355162684096,-16.60243551626841,-30.60243551626841,-6.675408477314272,717.5,,inf,-9.806933113666476,-2.877389632274974,11.320281966310851,-17.133573268981262,1161427.1,-17.10754086050714,2022.0
M2_RESID_CONTINUATION_1H_z1.5,A_resid_move,12,T_ALL,DEAD,645577,165203.0,2308.0,330.0,-3.118594557193945,-17.118594557193944,-31.118594557193944,-4.35567692994172,715.8666666666667,,inf,-6.017504220567403,-1.8352203512019827,18.7563514475323,-24.899665894699698,3483835.8000000003,-18.174541784013137,2022.0
M2_RESID_CONTINUATION_1H_z2.5,A_resid_move,1,T_ALL,DEAD,187665,78067.0,2301.0,330.0,-2.7326013952868475,-16.73260139528685,-30.73260139528685,-7.14047848398489,329.7388888888889,,inf,-9.088802925424293,-3.0327246258883425,12.953000642870473,-19.963832184743065,552237.2000000001,-17.60321270830661,2022.0
M2_RESID_CONTINUATION_1H_z2.5,A_resid_move,4,T_ALL,DEAD,187646,78061.0,2301.0,330.0,-4.992504500619276,-18.992504500619276,-32.992504500619276,-6.608834771530385,329.6611111111111,,inf,-6.386700444807422,-2.8636570959459404,22.26608597720305,-33.64579249037984,2208909.6,-21.12335288215766,2022.0
M2_RESID_CONTINUATION_1H_z2.5,A_resid_move,12,T_ALL,DEAD,187498,78015.0,2301.0,330.0,-6.782015237287025,-20.782015237287027,-34.78201523728703,-4.7010564440539575,328.9222222222222,,inf,-4.213469515179345,-2.0380481198296776,36.059398089423624,-49.175327600188254,6625412.699999999,-25.036415933917652,2022.0
M2_RESID_CONTINUATION_1H_z4.0,A_resid_move,1,T_ALL,DEAD,53041,30068.0,2246.0,329.0,-3.7775076614866037,-17.777507661486602,-31.777507661486602,-6.310734214004335,128.95555555555555,,inf,-4.971670976499245,-2.464984778505436,31.29405913270875,-45.061154083283554,1057168.6,-21.80934466384305,2025.0
M2_RESID_CONTINUATION_1H_z4.0,A_resid_move,4,T_ALL,DEAD,53037,30067.0,2246.0,329.0,-11.9473884166071,-25.947388416607097,-39.9473884166071,-6.35165757561703,128.95555555555555,,inf,-4.234227160247905,-2.6599508772206826,49.82885593392796,-73.48373321473217,4228433.600000001,-29.894214911497286,2026.0
M2_RESID_CONTINUATION_1H_z4.0,A_resid_move,12,T_ALL,DEAD,52973,30029.0,2246.0,329.0,-20.68098370479965,-34.68098370479965,-48.68098370479965,-5.519393560559696,128.56666666666666,,inf,-3.2975923344774,-2.277616705404571,76.90809845963683,-108.17025116876516,12683752.8,-42.07455395520455,2026.0
M3_RESID_REVERSION_4H_z1.5,A_resid_move,1,T_ALL,DEAD,655325,132717.0,2302.0,330.0,1.3896196694278709,-12.610380330572129,-26.61038033057213,9.073709814452936,582.9444444444445,,2.0260237946983803,-9.375089792300932,3.9351775863812026,5.893524440598426,-1.7544275583244042,286660.95,-12.773748027216024,2020.0
M3_RESID_REVERSION_4H_z1.5,A_resid_move,4,T_ALL,DEAD,655239,132705.0,2302.0,330.0,2.7763883385904236,-11.223611661409576,-25.223611661409578,5.244698230850499,582.7111111111111,,6.472756295397155,-2.76138897696569,2.2016180587856677,15.80581803372102,-9.595338660839563,1146716.8,-11.424893486595922,2020.0
M3_RESID_REVERSION_4H_z1.5,A_resid_move,12,T_ALL,DEAD,654815,132640.0,2302.0,330.0,3.5059017453877606,-10.49409825461224,-24.49409825461224,2.4773628735879196,581.0777777777778,,29.57033183443194,-1.4645007097666003,1.0300504772939827,31.44629242889855,-25.6654101776475,3440373.5999999996,-12.34011304289141,2024.0
M3_RESID_REVERSION_4H_z2.5,A_resid_move,1,T_ALL,DEAD,190613,53393.0,2275.0,329.0,2.1666287468074152,-11.833371253192585,-25.833371253192585,8.34866597615166,232.63333333333333,,2.4689606189691378,-2.2316218217629094,3.564753674619364,13.533351342769818,-4.923393020397574,563435.65,-13.529632295635498,2021.0
M3_RESID_REVERSION_4H_z2.5,A_resid_move,4,T_ALL,DEAD,190589,53388.0,2275.0,329.0,4.932360137833274,-9.067639862166725,-23.067639862166725,5.400801603366751,232.59444444444443,,6.360294511288054,-0.2503301876085787,2.2209971117374416,31.741803737579232,-19.15991724583349,2253745.0,-9.39936075648313,2020.0
M4_FLOW_IMBALANCE_FADE_0.3,B_flow,1,T_ALL,DEAD,142767,64825.0,2293.0,330.0,-0.29832117095318317,-14.298321170953184,-28.298321170953184,-0.22971398141348665,496.65,,inf,-10.60502397466068,-0.09478992757495791,7.463619340514512,-7.589882845218994,27696.425000000003,-14.717362858626831,2026.0
M4_FLOW_IMBALANCE_FADE_0.3,B_flow,4,T_ALL,DEAD,142730,64816.0,2293.0,330.0,-1.6022173204997214,-15.602217320499722,-29.602217320499722,-1.9152691324966769,496.33888888888885,,inf,-5.922000786160572,-0.745788616245795,15.15478568732136,-17.171905597538068,110795.225,-16.368178880016398,2026.0
M4_FLOW_IMBALANCE_FADE_0.3,B_flow,12,T_ALL,DEAD,142671,64789.0,2293.0,330.0,-6.211071308713355,-20.211071308713354,-34.21107130871336,-2.0957529691593964,495.71666666666664,,inf,-3.4117872136531937,-0.8331163498912408,30.42047250370011,-34.943589068278506,332430.375,-20.516207714682057,2022.0
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,1,T_ALL,DEAD,9058,4060.0,1250.0,263.0,-1.7927178314396468,-15.792717831439647,-29.792717831439646,-0.06445296251808384,42.62222222222222,,inf,-5.431810113140276,-0.03504020784291737,14.535432765099674,-14.626332121271838,40040.7375,-16.049919074512214,2024.0
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,4,T_ALL,DEAD,9058,4060.0,1250.0,263.0,-5.94217436234605,-19.94217436234605,-33.94217436234605,-2.1056460356370352,42.62222222222222,,inf,-3.3689371842755635,-1.0707075197774,34.13252701369689,-40.65489747494353,160162.95,-21.390738567687258,2025.0
M4_FLOW_IMBALANCE_FADE_0.5,B_flow,12,T_ALL,DEAD,9057,4060.0,1250.0,263.0,-14.610806668665978,-28.61080666866598,-42.61080666866598,-1.491703391791776,42.62222222222222,,inf,-1.89339370091343,-0.8016270403117316,71.85087156254667,-82.13033783437723,480597.78750000003,-29.494933084853464,2024.0
