mechanism_id,family,horizon_h,tier,raw_episodes_per_day,sd_episode_bps,sd_daymean_bps,k_eff_independent_per_day,redundancy_factor,net_bps_min_1y,eta_years
M7_OI_FLUSH_BOUNCE_0.02,C_oi,4,T_ALL,47.95774647887324,340.0448275604719,74.89976992373093,20.611584495671444,2.326737495069564,21.96685505300726,
M7_OI_FLUSH_BOUNCE_0.02,C_oi,12,T_ALL,47.91901408450704,589.7764496461634,125.88126650559029,21.95091590808654,2.1830075011518795,36.91887889686508,
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,1,T_ALL,41.890345128877236,278.20695434050486,57.835758089415826,23.13892075083282,1.8103845715176456,16.96226458538772,
M9_VOLSHOCK_CONTINUATION_3.0x,D_volshock,1,T_ALL,41.890345128877236,278.20695434050486,57.835758089415826,23.13892075083282,1.8103845715176456,16.96226458538772,
M9_VOLSHOCK_CONTINUATION_3.0x,D_volshock,4,T_ALL,41.889034512887726,398.4066087400799,94.56546808043373,17.74957319784476,2.3600023530692047,27.734476787551625,
M9_VOLSHOCK_CONTINUATION_3.0x,D_volshock,12,T_ALL,41.86413280908694,570.8254587200441,166.37148053685993,11.771963472740799,3.5562574506816707,48.79398430234022,
M9_VOLSHOCK_CONTINUATION_6.0x,D_volshock,1,T_ALL,9.56697071531445,355.8538859322576,130.29997851138202,7.458555697401961,1.2826840883747659,38.21481353392805,
M9_VOLSHOCK_CONTINUATION_6.0x,D_volshock,4,T_ALL,9.56697071531445,555.9825856296209,221.04282853208815,6.32658750396446,1.5121849985192575,64.82818011077342,
M9_VOLSHOCK_CONTINUATION_6.0x,D_volshock,12,T_ALL,9.563610177628421,766.2061248750624,372.0305898567369,4.241641280313209,2.2546956580265625,109.11037578606023,
M10_BASIS_Z_REVERSION_2.0,E_basis,1,T_DEEP,17.253140995812007,194.9768848926708,55.06947898520607,12.535576734722882,1.376334041976842,16.15096099686915,
M10_BASIS_Z_REVERSION_2.0,E_basis,4,T_DEEP,17.252210330386227,287.53212719415785,100.04846726151212,8.259464204438357,2.0887808099120364,29.342549127281806,
M10_BASIS_Z_REVERSION_2.0,E_basis,12,T_DEEP,17.24197301070265,475.04572724945285,172.78176764857963,7.5591855701257415,2.2809299825689875,50.674014748023765,
M10_BASIS_Z_REVERSION_3.0,E_basis,1,T_DEEP,3.152956298200514,268.3954131461338,140.80547684820664,3.6333821948117517,0.8677744671900313,41.295901225647626,
M10_BASIS_Z_REVERSION_3.0,E_basis,4,T_DEEP,3.152956298200514,407.5847627044615,294.2064745904106,1.9192494624328447,1.6428069200570832,86.2858589494301,
M10_BASIS_Z_REVERSION_3.0,E_basis,12,T_DEEP,3.14983922829582,679.5136741209283,504.4072083815283,1.8148211526781008,1.7356196359336322,147.93423324920582,
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,1,T_DEEP,20.023529411764706,73.3914769631943,19.8350323800396,13.690692871873164,1.4625650870382194,5.817284641965048,
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,4,T_DEEP,20.023529411764706,139.8983348862809,35.67077921247092,15.381542790472569,1.3017894033469397,10.461645441448928,
M12_XS_RESID_REVERSAL_1H,G_cross_sectional_hourly,12,T_DEEP,20.023529411764706,218.31460080647688,53.733588143696736,16.507217736991127,1.2130166167793288,15.75916646249398,
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,1,T_DEEP,20.023529411764706,50.416911608369624,12.30581650179025,16.785396615288402,1.1929136898395931,3.609091024965675,
M13_XS_FLOW_REVERSAL_1H,G_cross_sectional_hourly,4,T_DEEP,20.023529411764706,104.45701343934503,38.59025530737325,7.326893951480248,2.7328810194829374,11.317879155821393,
