net_put_flow_btc_z,net_call_flow_btc_z,block_share_z,pc_volume_ratio_z,top_strike_share_z,lag,event_day
-0.3347905737117102,0.08092693238470755,0.4276194417245544,-0.4178447810712451,1.348659266626298,0,2023-07-28
-0.23936628710262914,-0.3054893845704532,-1.3823121552719075,-0.3233512518541756,-1.5623488328173885,1,2023-07-28
0.7351372038868097,-0.31844132412716003,-0.8510845284604132,-0.9201518917824141,-0.27142498199013726,2,2023-07-28
-0.0526277102363668,-0.2784952887330116,0.6324983390995744,-0.19448848227873491,1.0583856692053684,-2,2023-08-17
0.03329159661909559,0.5152994281044627,1.1954025098758974,3.4727598642400532,-0.5335160334943091,-1,2023-08-17
2.472689918773392,0.7607566713117236,-0.0827451797514265,3.2776671550124186,-1.1696007590945796,0,2023-08-17
2.3303162257448276,-2.081176612054846,0.690667280303286,4.531157875171543,-1.4414684286696922,1,2023-08-17
1.5528235683752314,-0.2963113014276204,-1.4627387062409694,6.169396160683178,-0.06984815899247845,2,2023-08-17
0.03329159661909559,0.5152994281044627,1.1954025098758974,3.4727598642400532,-0.5335160334943091,-2,2023-08-18
2.472689918773392,0.7607566713117236,-0.0827451797514265,3.2776671550124186,-1.1696007590945796,-1,2023-08-18
2.3303162257448276,-2.081176612054846,0.690667280303286,4.531157875171543,-1.4414684286696922,0,2023-08-18
1.5528235683752314,-0.2963113014276204,-1.4627387062409694,6.169396160683178,-0.06984815899247845,1,2023-08-18
0.1681475854893424,-0.36230313587204904,-1.7613421718227789,1.6439847658812945,0.330363525150096,2,2023-08-18
0.1681475854893424,-0.36230313587204904,-1.7613421718227789,1.6439847658812945,0.330363525150096,-2,2023-08-22
-0.24466781743458982,0.43418708822059243,0.7506159508570115,2.422489992890276,-0.6983730912464196,-1,2023-08-22
0.025969378523593205,-0.2452668295757783,0.960024336805019,0.6165085273820219,-1.1362795127467396,0,2023-08-22
-1.7351933208270394,1.2741858550708642,0.14230392227856692,-0.2463807194659982,0.12736724206864328,1,2023-08-22
0.04913908610160717,0.02176884416284559,-0.023546916608101168,0.48440929810303907,-0.9259505012014724,2,2023-08-22
-0.5395888511621042,1.3994923009018019,1.0946688798549298,-0.13657859556211693,-0.6087725838814924,-2,2023-08-31
1.9457948767413171,-1.66566443755875,0.8501750321365047,1.1917667579414655,-0.516193819371012,-1,2023-08-31
0.22666649752866663,-0.9999274632008204,0.01568199603585494,1.4747009677449057,-0.9844650818617127,0,2023-08-31
0.2015020698627617,-0.939194674420848,0.0687601929244347,0.19832245155184408,0.1956644550057477,1,2023-08-31
-0.03921737489833532,-0.17355241742909308,-0.8789857855473272,1.4829286426735995,3.421578218930735,2,2023-08-31
0.49574331398871063,-0.44999548414957874,0.372718255063949,1.9969134135160227,0.16441012293675025,-2,2023-09-08
-0.6061900951588098,2.4407817193031116,1.2447148923113056,-0.022064543761511256,-1.0331255846947613,-1,2023-09-08
0.6058872061488013,0.40668598826925084,-0.3060993637400253,1.677042557595554,-1.2427220919109594,0,2023-09-08
-0.14227409960517703,-0.4948575505151514,-1.4714924673968208,0.13407392209797464,0.07484764280183764,1,2023-09-08
-0.21401965134391449,-0.8533883084853423,-1.5025600431362172,1.006374210103915,0.9899759865610808,2,2023-09-08
-0.06548945866749073,-2.4851766813715575,0.7170376430562518,-0.31757489150428414,-0.9620626273351809,-2,2023-10-01
-0.14528107110262278,-0.1582127364000789,-0.14695411719242593,-0.948940221541908,1.5908070073930352,-1,2023-10-01
-0.5232306856934384,0.7678089253406627,-1.2821976315995007,-1.0947961891706846,0.3160578660107201,0,2023-10-01
-0.6168536918445052,2.1730555859791894,0.9425322636277954,-0.8944922162827212,0.03094623741778131,1,2023-10-01
2.3908029438366736,-0.9736582211188148,2.261802252321795,0.38639025938673877,-0.7157950717096113,2,2023-10-01
