key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes,passes_placebo
mom_10|allf|h1|k12|hd1|sm0|-|-,mom_10,allf,1,12,1,0,-,-,INV,853,853,-8.195015581701192,14.53643536219314,-6.341419780491949,-6.341419780491949,-0.9171624260386293,-3.282615326962868,-0.9171624260386293,0.25,3,798.0000000000082,4.002575583248625,False,False
mom_5|allf|h1|k8|hd5|sm0|-|-,mom_5,allf,1,8,5,0,-,-,INV,853,170,-1.1701255631768306,5.212660707293906,-4.042535144117077,-4.042535144117077,-0.9195530693225203,-1.4494831545550626,-0.9195530693225203,0.25,7,798.0000000000082,4.002575583248625,False,False
oi_x_taker|raw|h1|k12|hd5|sm0|-|-,oi_x_taker,raw,1,12,5,0,-,-,INV,853,170,-0.07429532860846703,4.708214044285791,-4.633918715677325,-4.633918715677325,-0.9212303490862072,-0.9492091357608987,-0.9212303490862072,0.5,7,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg7|raw|h1|k12|hd1|sm0|-|-,lsr_ttpos_chg7,raw,1,12,1,0,-,-,INV,580,580,-2.642363104330309,9.952461685968617,-7.310098581638307,-7.310098581638307,-0.92218879555524,-1.5807739879666516,-0.92218879555524,0.5,3,798.0000000000082,4.002575583248625,False,False
funding_trend_3|full|h1|k8|hd1|sm0|-|-,funding_trend_3,full,1,8,1,0,-,-,INV,853,853,-4.82375707275424,12.387885956184956,-7.564128883430716,-7.564128883430716,-0.9233004763733997,-2.0959490707087274,-0.9233004763733997,0.25,3,798.0000000000082,4.002575583248625,False,False
dist_low_5|full|h1|k12|hd5|sm0|-|-,dist_low_5,full,1,12,5,0,-,-,DIR,853,170,0.44782412725486254,4.999370427618978,-4.551546300364112,-4.551546300364112,-0.9243811160129519,-0.9243811160129519,-1.1112973964866193,0.25,7,798.0000000000082,4.002575583248625,False,False
gk_over_cc_10|mom|h3|k8|hd1|sm0|-|-,gk_over_cc_10,mom,3,8,1,0,-,-,INV,853,284,-0.8794344788358236,6.490884586818855,-5.611450107983031,-16.834350323949092,-0.9254447066431316,-1.215769758773205,-0.9254447066431316,0.25,5,798.0000000000082,4.002575583248625,False,False
trend_quality_5|mom|h1|k8|hd1|sm5|-|-,trend_quality_5,mom,1,8,1,5,-,-,DIR,849,849,3.309503143047991,8.91840001763312,-5.6088968745851275,-5.6088968745851275,-0.9273407075993417,-0.9273407075993417,-2.0111666625814353,0.25,8,798.0000000000082,4.002575583248625,False,False
dist_low_5|allf|h1|k12|hd5|sm0|-|-,dist_low_5,allf,1,12,5,0,-,-,DIR,853,170,2.0009836953581424,5.23307735805472,-3.23209366269658,-3.23209366269658,-0.9281718927155514,-0.9281718927155514,-2.0772379260340026,0.5,7,798.0000000000082,4.002575583248625,False,False
trend_quality_20|allf|h1|k12|hd1|sm0|-|-,trend_quality_20,allf,1,12,1,0,-,-,DIR,853,853,6.44678283595963,11.824974891876035,-5.378192055916407,-5.378192055916407,-0.9302713836647881,-0.9302713836647881,-3.138079597090872,0.5,3,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_chg3|allf|h3|k12|hd1|sm0|-|-,lsr_ttpos_chg3,allf,3,12,1,0,-,-,DIR,588,196,4.053478509949284,8.505104784379371,-4.451626274430088,-13.354878823290264,-0.9306342726191675,-0.9306342726191675,-2.6280231905741553,0.25,5,798.0000000000082,4.002575583248625,False,False
dist_low_10|mom|h1|k12|hd5|sm0|-|-,dist_low_10,mom,1,12,5,0,-,-,DIR,853,170,0.7571753672718248,4.935544516733622,-4.178369149461799,-4.178369149461799,-0.9306434868659954,-0.9306434868659954,-1.2684359826445044,0.25,7,798.0000000000082,4.002575583248625,False,False
oi_z60|full|h1|k8|hd1|sm0|-|-,oi_z60,full,1,8,1,0,-,-,DIR,853,853,3.761860350461224,10.227382970051348,-6.465522619590121,-6.465522619590121,-0.9313241117652482,-0.9313241117652482,-2.021591472600231,0.25,3,798.0000000000082,4.002575583248625,False,False
oi_intraday_chg|full|h3|k8|hd1|sm0|-|-,oi_intraday_chg,full,3,8,1,0,-,-,DIR,853,284,4.230530624076574,8.829664406679166,-4.599133782602592,-13.797401347807774,-0.9314680196983856,-0.9314680196983856,-2.6410457037810686,0.5,5,798.0000000000082,4.002575583248625,False,False
lsr_takerls_lvl|mom|h3|k8|hd1|sm0|-|-,lsr_takerls_lvl,mom,3,8,1,0,-,-,INV,724,241,-3.898178217222585,8.090283751143245,-4.19210553392066,-12.576316601761981,-0.9319756204544816,-2.6746400919918223,-0.9319756204544816,0.25,5,798.0000000000082,4.002575583248625,False,False
lsr_ttpos_lvl|mom|h1|k12|hd1|sm0|-|-,lsr_ttpos_lvl,mom,1,12,1,0,-,-,INV,505,505,-1.5349362853377624,8.919027132253067,-7.384090846915303,-7.384090846915303,-0.9320665918355017,-1.3220623993803757,-0.9320665918355017,0.25,3,798.0000000000082,4.002575583248625,False,False
trend_quality_10|mom|h3|k12|hd1|sm5|-|-,trend_quality_10,mom,3,12,1,5,-,-,DIR,849,283,0.38407921261470906,5.141746252031922,-4.757667039417211,-14.273001118251635,-0.9324519017734993,-0.9324519017734993,-1.0754548170972957,0.25,10,798.0000000000082,4.002575583248625,False,False
mom_skip1_10|mkt|h1|k12|hd1|sm0|-|-,mom_skip1_10,mkt,1,12,1,0,-,-,DIR,853,853,1.0561429380925782,9.704377814944449,-8.64823487685187,-8.64823487685187,-0.932875155278592,-0.932875155278592,-1.15959720877989,0.25,3,798.0000000000082,4.002575583248625,False,False
trend_quality_10|allf|h1|k8|hd5|sm0|-|-,trend_quality_10,allf,1,8,5,0,-,-,INV,853,170,-0.6733197114251303,5.543184746152437,-4.869865034727307,-4.869865034727307,-0.9330284969955187,-1.1929968519696532,-0.9330284969955187,0.5,7,798.0000000000082,4.002575583248625,False,False
oi_intraday_chg_5|allf|h3|k12|hd1|sm5|-|-,oi_intraday_chg_5,allf,3,12,1,5,-,-,DIR,849,283,0.9451329583999906,5.3997987660468025,-4.454665807646809,-13.363997422940429,-0.9332523779230999,-0.9332523779230999,-1.3180889061294156,0.25,10,798.0000000000082,4.002575583248625,False,False
taker_imb_1|raw|h3|k12|hd1|sm0|-|-,taker_imb_1,raw,3,12,1,0,-,-,DIR,853,284,3.2021372914519812,7.989007854664208,-4.786870563212226,-14.360611689636677,-0.9333744526667723,-0.9333744526667723,-2.1931868491753366,0.0,5,798.0000000000082,4.002575583248625,False,False
