symbol,source,year,n_hours,close_med_abs_dev_bps,close_p99_abs_dev_bps,frac_close_dev_gt_1bp,vol_med_abs_rel_dev,ntr_enriched_zero_rate,tbb_eq_half_vol_rate,tbq_eq_half_qav_rate,tbb_med_abs_rel_dev_vs_v2
MKRUSDT,spot,2022,8760,8.691,32.31,0.945,8.6381,1.0,1.0,1.0,8.7671
MKRUSDT,spot,2023,8759,6.329,22.92,0.9224,8.627,1.0,1.0,1.0,9.0415
MKRUSDT,spot,2024,8784,6.247,20.83,0.9242,2.7408,1.0,1.0,1.0,2.7462
MKRUSDT,spot,2025,6171,6.562,665.32,0.9362,4.451,1.0,1.0,1.0,4.5028
PEPEUSDT,perp,2023,5768,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0418
PEPEUSDT,perp,2024,8784,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0421
PEPEUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0518
PEPEUSDT,perp,2026,4297,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0611
SOLUSDT,perp,2020,2586,0.0,0.0,0.0004,0.0,0.0,0.0,1.0,0.0
SOLUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,0.0,0.0001,1.0,0.0
SOLUSDT,perp,2022,8640,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SOLUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SOLUSDT,perp,2024,8784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SOLUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SOLUSDT,perp,2026,5088,0.0,9.23,0.3443,0.0,0.0,0.0,1.0,0.0
SOLUSDT,spot,2020,2581,13.112,52.27,0.9589,3.8158,0.0,0.0,1.0,3.6913
SOLUSDT,spot,2021,8747,7.375,56.75,0.9225,1.9937,0.0,0.0001,1.0,1.9076
SOLUSDT,spot,2022,8640,5.866,36.86,0.9322,4.7284,0.0,0.0,1.0,4.7294
SOLUSDT,spot,2023,8759,4.885,17.97,0.899,6.4824,0.0,0.0,1.0,6.57
SOLUSDT,spot,2024,8784,4.784,14.72,0.9474,3.5146,0.0,0.0,1.0,3.4559
SOLUSDT,spot,2025,8760,5.027,9.53,0.9871,5.4177,0.0,0.0,1.0,5.4563
