symbol,ref,year,n,frac_close_eq,frac_vol_eq_1pct,vol_median_ratio
HBARUSDT,perp,2022,8640,1.0,1.0,1.0
HBARUSDT,perp,2023,8760,1.0,0.9999,1.0
HBARUSDT,perp,2024,8784,0.9998,0.9997,1.0
HBARUSDT,perp,2025,8760,1.0,0.9995,1.0
HBARUSDT,perp,2026,4298,0.9998,0.9998,1.0
HBARUSDT,spot,2021,6942,0.051,0.0081,1.6961
HBARUSDT,spot,2022,8760,0.0731,0.0,3.6846
HBARUSDT,spot,2023,8759,0.0595,0.0,4.3894
HBARUSDT,spot,2024,8784,0.061,0.0002,2.422
HBARUSDT,spot,2025,8760,0.0301,0.0002,2.9663
HBARUSDT,spot,2026,4298,0.0002,0.0002,3.4962
ICPUSDT,perp,2022,2302,1.0,1.0,1.0
ICPUSDT,perp,2023,8760,1.0,0.9999,1.0
ICPUSDT,perp,2024,8784,0.9998,0.9997,1.0
ICPUSDT,perp,2025,8760,1.0,0.9995,1.0
ICPUSDT,perp,2026,4298,0.9998,0.9998,1.0
ICPUSDT,spot,2022,2302,0.0608,0.0013,3.3194
ICPUSDT,spot,2023,8759,0.0879,0.0001,3.9093
ICPUSDT,spot,2024,8784,0.0502,0.0014,2.2892
ICPUSDT,spot,2025,8760,0.0346,0.0005,3.0813
ICPUSDT,spot,2026,4298,0.024,0.0,4.2485
IMXUSDT,perp,2022,7653,1.0,1.0,1.0
IMXUSDT,perp,2023,8760,1.0,0.9999,1.0
IMXUSDT,perp,2024,8784,0.9998,0.9997,1.0
IMXUSDT,perp,2025,8760,1.0,0.9995,1.0
IMXUSDT,perp,2026,4297,0.9998,0.9998,1.0
IMXUSDT,spot,2022,7773,0.0582,0.0006,5.0169
IMXUSDT,spot,2023,8759,0.0587,0.0,6.5655
IMXUSDT,spot,2024,8784,0.07,0.0,4.6009
IMXUSDT,spot,2025,8760,0.0679,0.0,4.8964
IMXUSDT,spot,2026,4297,0.0375,0.0,5.3562
INJUSDT,perp,2022,3286,1.0,1.0,1.0
INJUSDT,perp,2023,8760,1.0,0.9998,1.0
INJUSDT,perp,2024,8784,0.9998,0.9997,1.0
INJUSDT,perp,2025,8760,1.0,0.9995,1.0
INJUSDT,perp,2026,4295,0.9998,0.9998,1.0
INJUSDT,spot,2022,3286,0.1887,0.0006,5.1951
INJUSDT,spot,2023,8759,0.0666,0.0,7.2949
INJUSDT,spot,2024,8784,0.0743,0.0,4.3459
INJUSDT,spot,2025,8760,0.1006,0.0,6.7325
INJUSDT,spot,2026,4295,0.0221,0.0,6.8466
JUPUSDT,perp,2024,8046,0.9998,0.9996,1.0
JUPUSDT,perp,2025,8760,1.0,0.9995,1.0
JUPUSDT,perp,2026,4298,0.9998,0.9998,1.0
JUPUSDT,spot,2024,8046,0.0425,0.0,3.0686
JUPUSDT,spot,2025,8760,0.0386,0.0,6.2726
JUPUSDT,spot,2026,4298,0.0526,0.0,6.275
LDOUSDT,perp,2022,2412,1.0,1.0,1.0
LDOUSDT,perp,2023,8760,1.0,0.9999,1.0
LDOUSDT,perp,2024,8784,0.9998,0.9997,1.0
LDOUSDT,perp,2025,8760,1.0,0.9995,1.0
LDOUSDT,perp,2026,4298,0.9998,0.9998,1.0
LDOUSDT,spot,2022,2412,0.1248,0.0017,4.2488
LDOUSDT,spot,2023,8759,0.0912,0.0,6.7422
LDOUSDT,spot,2024,8784,0.086,0.0,4.3071
LDOUSDT,spot,2025,8760,0.0635,0.0,5.4856
LDOUSDT,spot,2026,4298,0.0079,0.0,6.0886
LINKUSDT,perp,2020,8392,1.0,0.974,1.0
LINKUSDT,perp,2021,8760,1.0,0.979,1.0
LINKUSDT,perp,2022,8760,1.0,0.9735,1.0
LINKUSDT,perp,2023,8760,1.0,0.9773,1.0
LINKUSDT,perp,2024,8784,1.0,0.9759,1.0
LINKUSDT,perp,2025,8760,1.0,0.9781,1.0
LINKUSDT,perp,2026,5088,0.6559,0.636,1.0
LINKUSDT,spot,2020,8375,0.0648,0.0027,2.4268
LINKUSDT,spot,2021,8747,0.0703,0.0001,2.6281
LINKUSDT,spot,2022,8760,0.0561,0.0,5.1202
LINKUSDT,spot,2023,8759,0.0489,0.0,7.6748
LINKUSDT,spot,2024,8784,0.0984,0.0,4.5323
LINKUSDT,spot,2025,8760,0.1175,0.0,5.6875
LINKUSDT,spot,2026,5088,0.3872,0.3441,3.9176
LTCUSDT,perp,2021,8760,1.0,1.0,1.0
LTCUSDT,perp,2022,8640,1.0,1.0,1.0
LTCUSDT,perp,2023,8760,1.0,0.9999,1.0
LTCUSDT,perp,2024,8784,0.9998,0.9997,1.0
LTCUSDT,perp,2025,8760,1.0,0.9995,1.0
LTCUSDT,perp,2026,4295,0.9998,0.9998,1.0
LTCUSDT,spot,2021,8747,0.0627,0.0003,3.1423
LTCUSDT,spot,2022,8760,0.0508,0.0,5.2374
LTCUSDT,spot,2023,8759,0.0358,0.0,6.8879
LTCUSDT,spot,2024,8784,0.0429,0.0,4.1434
LTCUSDT,spot,2025,8760,0.0336,0.0,4.9287
LTCUSDT,spot,2026,4295,0.0,0.0,4.3445
MANAUSDT,perp,2021,7001,1.0,0.9999,1.0
MANAUSDT,perp,2022,8640,1.0,1.0,1.0
MANAUSDT,perp,2023,8760,1.0,0.9999,1.0
MANAUSDT,perp,2024,8784,0.9998,0.9998,1.0
MANAUSDT,perp,2025,8760,1.0,0.9995,1.0
MANAUSDT,perp,2026,4299,0.9998,0.9998,1.0
MANAUSDT,spot,2021,6990,0.0448,0.0079,2.3694
MANAUSDT,spot,2022,8760,0.0541,0.0,5.3422
MANAUSDT,spot,2023,8759,0.0554,0.0,8.2767
MANAUSDT,spot,2024,8784,0.0821,0.0,6.238
MANAUSDT,spot,2025,8760,0.0686,0.0,5.8277
MANAUSDT,spot,2026,4299,0.1596,0.0,10.0982
MKRUSDT,perp,2021,8760,1.0,1.0,1.0
MKRUSDT,perp,2022,8640,1.0,1.0,1.0
MKRUSDT,perp,2023,8760,1.0,0.9999,1.0
MKRUSDT,perp,2024,8784,0.9998,0.9997,1.0
MKRUSDT,perp,2025,8760,1.0,0.9993,1.0
MKRUSDT,perp,2026,4296,1.0,,
MKRUSDT,spot,2021,8747,0.0525,0.0,5.8609
MKRUSDT,spot,2022,8760,0.055,0.0,9.6381
MKRUSDT,spot,2023,8759,0.0776,0.0,9.627
MKRUSDT,spot,2024,8784,0.0758,0.0,3.7408
MKRUSDT,spot,2025,6171,0.0638,0.0,5.451
NEARUSDT,perp,2021,8760,1.0,0.9999,1.0
NEARUSDT,perp,2022,8640,1.0,1.0,1.0
NEARUSDT,perp,2023,8760,1.0,0.9999,1.0
NEARUSDT,perp,2024,8784,0.9998,0.9997,1.0
NEARUSDT,perp,2025,8760,1.0,0.9995,1.0
NEARUSDT,perp,2026,4295,0.9998,0.9998,1.0
NEARUSDT,spot,2021,8747,0.0393,0.0085,1.8335
NEARUSDT,spot,2022,8760,0.0737,0.0,5.5628
NEARUSDT,spot,2023,8759,0.2184,0.0,7.1129
NEARUSDT,spot,2024,8784,0.0636,0.0,3.2821
NEARUSDT,spot,2025,8760,0.129,0.0,4.164
NEARUSDT,spot,2026,4295,0.1963,0.0,5.082
OPUSDT,perp,2022,5122,1.0,1.0,1.0
OPUSDT,perp,2023,8760,1.0,0.9999,1.0
OPUSDT,perp,2024,8784,0.9998,0.9997,1.0
OPUSDT,perp,2025,8760,1.0,0.9995,1.0
OPUSDT,perp,2026,4295,0.9998,0.9998,1.0
OPUSDT,spot,2022,5122,0.0838,0.0,7.3262
OPUSDT,spot,2023,8759,0.0864,0.0,8.1038
OPUSDT,spot,2024,8784,0.0894,0.0,4.2836
OPUSDT,spot,2025,8760,0.0854,0.0,6.1333
OPUSDT,spot,2026,4295,0.1912,0.0,8.9141
ORDIUSDT,perp,2023,1308,1.0,0.9985,1.0
ORDIUSDT,perp,2024,8784,0.9998,0.9997,1.0
ORDIUSDT,perp,2025,8760,1.0,0.9995,1.0
ORDIUSDT,perp,2026,4297,0.9998,0.9998,1.0
ORDIUSDT,spot,2023,1308,0.0558,0.0,5.107
ORDIUSDT,spot,2024,8784,0.0889,0.0,6.8262
ORDIUSDT,spot,2025,8760,0.0624,0.0,6.3216
